霊: 悪[霊]退散 全身全[霊] ;; 0101
退: 悪霊[退]散 一進一[退] ;; 0011
安: [安]全第一 大[安]吉日 ;; 1100
第: 安全[第]一 [第]一人者 ;; 1010
暗: [暗]中模索 疑心[暗]鬼 ;; 1010
口: 異[口]同音 開[口]一番 ;; 0200
撃: 一[撃]必殺 各個[撃]破 ;; 0110
殺: 一撃必[殺] 生[殺]与奪 ;; 0101
罰: 一[罰]百戒 信賞必[罰] ;; 0101
尽: 一網打[尽] 縦横無[尽] ;; 0002
金: 一攫千[金] [金]科玉条 ;; 1001
家: 一[家]団欒 本[家]本元 ;; 0200
憂: 一喜一[憂] 内[憂]外患 ;; 0101
即: 一触[即]発 色[即]是空 ;; 0110
所: 一[所]懸命 適材適[所] ;; 0101
石: 一[石]二鳥 電光[石]火 ;; 0110
鳥: 一石二[鳥] 花[鳥]風月 ;; 0101
朝: 一[朝]一夕 [朝]令暮改 ;; 1100
長: 一[長]一短 意味深[長] ;; 0101
上: 一筆啓[上] 汚名返[上] ;; 0002
通: 一方[通]行 音信不[通] ;; 0011
堂: 威風[堂]々 正々[堂]々 ;; 0020　○○堂々
果: 因[果]応報 勇猛[果]敢 ;; 0110
飲: [飲]酒運転 暴[飲]暴食 ;; 1100
酒: 飲[酒]運転 [酒]池肉林 ;; 1100
右: [右]往左往 左[右]対称 ;; 1100　左も
左: 右往[左]往 [左]右対称 ;; 1010　右も
象: 有[象]無[象] 森羅万[象] ;; 0102
折: 紆余曲[折] 和洋[折]衷 ;; 0011
教: 英才[教]育 反面[教]師 ;; 0020
給: 栄養補[給] 自[給]自足 ;; 0101
知: 温故[知]新 全[知]全能 ;; 0110
快: [快]刀乱麻 単純明[快] ;; 1001
胆: 臥薪嘗[胆] 大[胆]不敵 ;; 0101
花: [花]鳥風月 百[花]繚乱 ;; 1100
画: [画]竜点睛 自[画]自賛 ;; 1100
竜: 画[竜]点睛 [竜]頭蛇尾 ;; 1100
量: 感慨無[量] 情状酌[量] ;; 0002
固: 頑[固]一徹 [固]定観念 ;; 1100
謝: 感[謝]感激 新陳代[謝] ;; 0101
激: 感謝感[激] 叱咤[激]励 ;; 0011
題: 閑話休[題] 無理難[題] ;; 0002
危: [危]機一髪 [危]急存亡 ;; 2000
急: 危[急]存亡 [急]転直下 ;; 1100
亡: 危急存[亡] 敵前逃[亡] ;; 0002
疑: [疑]心暗鬼 半信半[疑] ;; 1001
怒: 喜[怒]哀楽 疾風[怒]濤 ;; 0110
楽: 喜怒哀[楽] 極[楽]浄土 ;; 0101
態: 旧[態]依然 飽和状[態] ;; 0101
強: [強]迫観念 弱肉[強]食 ;; 1010
観: 強迫[観]念 固定[観]念 ;; 0020　○○観念
器: [器]用貧乏 大[器]晩成 ;; 1100
津: 興味[津]々 [津]々浦々 ;; 1010　○？○？々
免: 切捨御[免] [免]許皆伝 ;; 1001
妄: 軽挙[妄]動 誇大[妄]想 ;; 0020
民: 経世済[民] [民]主主義 ;; 1001
土: 捲[土]重来 極楽浄[土] ;; 0101
術: 権謀[術]数 人海戦[術] ;; 0011
華: 豪[華]絢爛 中[華]思想 ;; 0200
爛: 豪華絢[爛] 天真[爛]漫 ;; 0011
公: [公]明正大 滅私奉[公] ;; 1001
極: [極]楽浄土 [極]悪非道 ;; 2000
孤: [孤]軍奮闘 [孤]立無援 ;; 2000
奮: 孤軍[奮]闘 獅子[奮]迅 ;; 0020
西: 古今東[西] 東奔[西]走 ;; 0011　東も
六: 五臓[六]腑 四[六]時中 ;; 0110
小: [小]春日和 大同[小]異 ;; 1010
語: 言[語]道断 大言壮[語] ;; 0101　言も
再: [再]起不能 [再]三[再]四 ;; 2010
対: 左右[対]称 暴力反[対] ;; 0011
様: 三者三[様] 多種多[様] ;; 0002
賛: [賛]否両論 自画自[賛] ;; 1001
錯: 試行[錯]誤 時代[錯]誤 ;; 0020　○○錯誤
作: 自[作]自演 豊年満[作] ;; 0101
根: 事実無[根] 大[根]役者 ;; 0101
七: [七]転八倒 [七]転八起 ;; 2000　七転八○
失: [失]地回復 茫然自[失] ;; 1001
十: [十]中八九 [十]人[十]色 ;; 2010
弱: [弱]肉強食 神経衰[弱] ;; 1001
辞: 社交[辞]令 美[辞]麗句 ;; 0110
横: 縦[横]無尽 [横]断歩道 ;; 1100
由: 自[由]自在 自[由]奔放 ;; 0200　自由○○
奔: 自由[奔]放 東[奔]西走 ;; 0110
放: 自由奔[放] 門戸開[放] ;; 0002
客: 主[客]転倒 千[客]万来 ;; 0200
択: 取捨選[択] 二者[択]一 ;; 0011
林: 酒池肉[林] 風[林]火山 ;; 0101
純: [純]情可憐 単[純]明快 ;; 1100
売: 商[売]繁盛 薄利多[売] ;; 0101
賞: [賞]味期限 信[賞]必罰 ;; 1100
濫: 職権[濫]用 粗製[濫]造 ;; 0020
私: [私]利[私]欲 滅[私]奉公 ;; 1110
欲: 私利私[欲] [欲]求不満 ;; 1001
滅: 支離[滅]裂 [滅]私奉公 ;; 1010
別: 思慮分[別] 千差万[別] ;; 0002
協: 紳士[協]定 不[協]和音 ;; 0110
精: [精]神統一 [精]力絶倫 ;; 2000
整: [整]理[整]頓 理路[整]然 ;; 1020　理も
磨: 切磋琢[磨] 百戦錬[磨] ;; 0002
途: 前[途]多難 中[途]半端 ;; 0200
創: [創]意工夫 満身[創]痍 ;; 1010
役: 大根[役]者 一人二[役] ;; 0011
列: 大名行[列] 年功序[列] ;; 0002
他: [他]言無用 [他]力本願 ;; 2000
種: 多[種]多様 品[種]改良 ;; 0200
単: [単]純明快 [単]刀直入 ;; 2000
背: 中肉中[背] 二律[背]反 ;; 0011
猛: 猪突[猛]進 勇[猛]果敢 ;; 0110
練: 手[練]手管 避難訓[練] ;; 0101
光: 電[光]石火 風[光]明媚 ;; 0200
労: 肉体[労]働 疲[労]困憊 ;; 0110
束: 二[束]三文 約[束]手形 ;; 0200
女: [女]人禁制 老若男[女] ;; 1001
薄: [薄]利多売 美人[薄]命 ;; 1010
雑: 罵詈[雑]言 複[雑]怪奇 ;; 0110
品: [品]行方正 [品]種改良 ;; 2000
物: [物]々交換 [物]見遊山 ;; 2000
老: 不[老]不死 [老]若男女 ;; 1100
