双眼鏡	3.52% ; jukugo742
総攻撃	3.52% ; jukugo743
贈収賄	3.52% ; jukugo744
総選挙	3.52% ; jukugo745
相対的	3.51% ; jukugo746
総動員	3.51% ; jukugo747
総本山	3.51% ; jukugo748
走馬灯	3.51% ; jukugo749
俗世間	3.51% ; jukugo750
卒業式	3.51% ; jukugo751
空模様	3.50% ; jukugo752
葬送曲	3.50% ; jukugo753
駐車場	3.50% ; jukugo754
大富豪	3.50% ; jukugo755
体育館	3.49% ; jukugo756
大往生	3.49% ; jukugo757
対角線	3.49% ; jukugo758
大気圏	3.49% ; jukugo759
代議士	3.49% ; jukugo760
大規模	3.49% ; jukugo761
太鼓判	3.49% ; jukugo762
太公望	3.49% ; jukugo763
大黒柱	3.48% ; jukugo764
醍醐味	3.48% ; jukugo765
大自然	3.48% ; jukugo766
大丈夫	3.48% ; jukugo767
大前提	3.48% ; jukugo768
大多数	3.48% ; jukugo769
大団円	3.48% ; jukugo770
大腸菌	3.47% ; jukugo771
大部分	3.47% ; jukugo772
太平洋	3.47% ; jukugo773
代名詞	3.47% ; jukugo774
太陽系	3.46% ; jukugo775
太陽暦	3.46% ; jukugo776
代理店	3.46% ; jukugo777
大理石	3.46% ; jukugo778
第六感	3.46% ; jukugo779
楕円形	3.46% ; jukugo780
駄菓子	3.46% ; jukugo781
打楽器	3.45% ; jukugo782
高飛車	3.45% ; jukugo783
多趣味	3.45% ; jukugo784
駄洒落	3.45% ; jukugo785
多数決	3.44% ; jukugo786
旅芸人	3.44% ; jukugo787
玉手箱	3.44% ; jukugo788
玉虫色	3.44% ; jukugo789
多目的	3.44% ; jukugo790
単行本	3.44% ; jukugo791
単細胞	3.44% ; jukugo792
誕生石	3.43% ; jukugo793
蛋白質	3.43% ; jukugo794
断片的	3.43% ; jukugo795
知能犯	3.43% ; jukugo796
地下室	3.43% ; jukugo797
地下水	3.43% ; jukugo798
地下鉄	3.42% ; jukugo799
致死量	3.42% ; jukugo800
血達磨	3.42% ; jukugo801
地中海	3.42% ; jukugo802
地平線	3.42% ; jukugo803
知名度	3.42% ; jukugo804
致命傷	3.42% ; jukugo805
茶番劇	3.42% ; jukugo806
中古車	3.41% ; jukugo807
抽象的	3.41% ; jukugo808
超音波	3.41% ; jukugo809
超能力	3.41% ; jukugo810
張本人	3.40% ; jukugo811
調味料	3.40% ; jukugo812
超特急	3.40% ; jukugo813
千代紙	3.40% ; jukugo814
貯金箱	3.40% ; jukugo815
著作権	3.40% ; jukugo816
鎮魂歌	3.40% ; jukugo817
通信簿	3.39% ; jukugo818
美人局	3.39% ; jukugo819
低次元	3.39% ; jukugo820
停留所	3.38% ; jukugo821
手加減	3.39% ; jukugo822
出来心	3.39% ; jukugo823
出来事	3.38% ; jukugo824
手数料	3.38% ; jukugo825
出鱈目	3.38% ; jukugo826
鉄条網	3.38% ; jukugo827
適齢期	3.38% ; jukugo828
鉄砲玉	3.38% ; jukugo829
鉄面皮	3.37% ; jukugo830
手羽先	3.37% ; jukugo831
手拍子	3.37% ; jukugo832
出無精	3.37% ; jukugo833
