系: 銀河[系] 太陽[系] ;; 002
緊: [緊]張感 [緊]迫感 ;; 200
敬: 尊[敬]語 最[敬]礼 ;; 020
束: 口約[束] 白装[束] ;; 002
屈: [屈]辱的 屁理[屈] ;; 101
誕: [誕]生日 [誕]生石 ;; 200
変: 七[変]化 [変]化球 ;; 110
椅: 車[椅]子 座[椅]子 ;; 020
軽: [軽]音楽 [軽]犯罪 ;; 200
灯: 蛍光[灯] 走馬[灯] ;; 002
視: 警[視]庁 [視]聴率 ;; 110
従: [従]業員 [従]兄弟 ;; 200
示: 掲[示]板 黙[示]録 ;; 020
座: 土下[座] [座]椅子 ;; 101
刊: 月[刊]誌 創[刊]号 ;; 020
解: [解]毒剤 不可[解] ;; 101
毒: 解[毒]剤 食中[毒] ;; 011
圏: 首都[圏] 大気[圏] ;; 002
現: [現]実的 [現]地妻 ;; 200
設: 建[設]的 [設]計図 ;; 110
雲: 積乱[雲] 入道[雲] ;; 002
微: 顕[微]鏡 [微]生物 ;; 110
範: 広[範]囲 師[範]代 ;; 020
考: [考]古学 参[考]書 ;; 110
々: 好[々]爺 赤裸[々] ;; 011
辛: 香[辛]料 唐[辛]子 ;; 020
豪: [豪]速球 大富[豪] ;; 101
配: [配]偶者 支[配]者 ;; 110
卒: [卒]業生 [卒]業式 ;; 200
刻: [刻]一[刻] 時[刻]表 ;; 111
告: [告]別式 予[告]編 ;; 110
個: [個]人差 [個]性的 ;; 200
午: [午]前様 子[午]線 ;; 110
典: 古[典]的 [典]型的 ;; 110
礼: 最敬[礼] 無[礼]講 ;; 011
終: 最[終]的 [終]止符 ;; 110
銭: 賽[銭]箱 守[銭]奴 ;; 020
要: 重[要]性 [要]注意 ;; 110
眠: 睡[眠]薬 不[眠]症 ;; 020
弾: 催涙[弾] 手榴[弾] ;; 002
早: [早]乙女 [早]合点 ;; 200
摩: 薩[摩]芋 [摩]天楼 ;; 110
鶴: [鶴]亀算 千羽[鶴] ;; 101
免: 無[免]許 [免]罪符 ;; 110
酸: [酸]性雨 乳[酸]菌 ;; 110
減: 塩加[減] 手加[減] ;; 002
製: 自家[製] 乳[製]品 ;; 011
像: 自画[像] 理想[像] ;; 002
持: [持]久走 支[持]者 ;; 110
耳: 地獄[耳] [耳]鼻科 ;; 101
思: [思]春期 不[思]議 ;; 110
説: 私小[説] 小[説]家 ;; 011
鎮: 地[鎮]祭 [鎮]魂歌 ;; 110
役: 取締[役] [役]不足 ;; 101
由: 自[由]形 不自[由] ;; 011
集: [集]客力 [集]大成 ;; 200
止: 終[止]符 波[止]場 ;; 020
準: [準]備中 標[準]語 ;; 110
校: 小学[校] 予備[校] ;; 002
衝: [衝]撃波 [衝]動的 ;; 200
撃: 衝[撃]波 総攻[撃] ;; 011
民: 小市[民] 植[民]地 ;; 011
松: [松]竹梅 [松]葉杖 ;; 200
税: 消費[税] 所得[税] ;; 002
処: [処]世術 [処]方箋 ;; 200
楼: 蜃気[楼] 摩天[楼] ;; 002
族: 水[族]館 暴走[族] ;; 011
背: [背]格好 [背]後霊 ;; 200
育: 性教[育] 体[育]館 ;; 011
攻: 正[攻]法 総[攻]撃 ;; 020
染: [染]色体 伝[染]病 ;; 110
当: 正[当]化 [当]事者 ;; 110
例: 正比[例] 反比[例] ;; 002
命: 生[命]線 致[命]傷 ;; 020
責: [責]任感 無[責]任 ;; 110
赤: [赤]裸々 [赤]血球 ;; 200
潜: [潜]水艦 [潜]望鏡 ;; 200
号: 創刊[号] 不等[号] ;; 002
双: [双]眼鏡 [双]生児 ;; 200
洋: 太平[洋] [洋]菓子 ;; 101
菓: 駄[菓]子 洋[菓]子 ;; 020
旅: [旅]芸人 [旅]客機 ;; 200
達: 血[達]磨 雪[達]磨 ;; 020
磨: 血達[磨] 雪達[磨] ;; 002
特: 超[特]急 [特]効薬 ;; 110
局: 美人[局] 郵便[局] ;; 002
砲: 鉄[砲]玉 無鉄[砲] ;; 011
展: [展]望台 [展]覧会 ;; 200
同: [同]性愛 [同]窓会 ;; 200
壇: 独[壇]場 土[壇]場 ;; 020
軟: [軟]着陸 [軟]弱者 ;; 200
棒: 如意[棒] 用心[棒] ;; 002
抗: 対[抗]馬 反[抗]期 ;; 020
必: [必]需品 [必]然的 ;; 200
氷: [氷]河期 [氷]点下 ;; 200
案: 不[案]内 道[案]内 ;; 020
完: 不[完]全 未[完]成 ;; 020
注: 不[注]意 要[注]意 ;; 020
愉: 不[愉]快 [愉]快犯 ;; 110
快: 不愉[快] 愉[快]犯 ;; 011
冬: [冬]化粧 [冬]将軍 ;; 200
尽: 無[尽]蔵 理不[尽] ;; 011
蔵: 無尽[蔵] 冷[蔵]庫 ;; 011
黙: [黙]示録 [黙]秘権 ;; 200
優: [優]越感 [優]等生 ;; 200
両: [両]極端 [両]生類 ;; 200
冷: [冷]凍庫 [冷]蔵庫 ;; 200
老: [老]眼鏡 [老]婆心 ;; 200
写: 青[写]真 試[写]会 被[写]体 ;; 030
将: 青大[将] [将]来性 冬[将]軍 ;; 111
秋: [秋]田犬 [秋]刀魚 千[秋]楽 ;; 210
響: 悪影[響] 影[響]力 交[響]曲 ;; 021
坊: 朝寝[坊] 風来[坊] 丸[坊]主 ;; 012
陽: 紫[陽]花 太[陽]系 太[陽]暦 ;; 030
修: 阿[修]羅 [修]道院 [修]羅場 ;; 210
圧: [圧]倒的 高気[圧] 高血[圧] ;; 102
邪: 天[邪]鬼 風[邪]薬 無[邪]気 ;; 030
模: 雨[模]様 空[模]様 大規[模] ;; 021
菌: 病原[菌] 大腸[菌] 乳酸[菌] ;; 003
件: 大事[件] 人[件]費 無条[件] ;; 012
元: 異次[元] 紀[元]前 低次[元] ;; 012
詞: 形容[詞] 作[詞]家 代名[詞] ;; 012
枚: 一[枚]岩 二[枚]舌 二[枚]目 ;; 030
過: 一[過]性 [過]半数 [過]保護 ;; 210
張: 一[張]羅 緊[張]感 [張]本人 ;; 120
直: 一[直]線 正[直]者 [直]談判 ;; 120
囲: [囲]炉裏 広範[囲] 雰[囲]気 ;; 111
裏: 囲炉[裏] 手[裏]剣 舞台[裏] ;; 012
頂: 有[頂]天 真骨[頂] 仏[頂]面 ;; 021
運: [運]転手 [運]動会 試[運]転 ;; 210
久: 永[久]歯 恒[久]的 持[久]走 ;; 030
歯: 永久[歯] [歯]科医 八重[歯] ;; 102
絵: [絵]空事 [絵]葉書 似顔[絵] ;; 201
周: 円[周]率 [周]期的 [周]波数 ;; 210
率: 円周[率] 視聴[率] 百分[率] ;; 003
炎: [炎]天下 火[炎]瓶 口内[炎] ;; 111
横: [横]隔膜 [横]一線 [横]恋慕 ;; 300
室: 応接[室] 地下[室] 霊安[室] ;; 003
広: 大[広]間 [広]範囲 [広]葉樹 ;; 210
念: 記[念]日 正[念]場 朴[念]仁 ;; 030
官: 外交[官] 九[官]鳥 裁判[官] ;; 012
浴: 海水[浴] 森林[浴] 日光[浴] ;; 003
版: 海賊[版] 改訂[版] 決定[版] ;; 003
開: [開]拓者 [開]放的 非公[開] ;; 201
被: [被]害者 [被]疑者 [被]写体 ;; 300
祭: 学園[祭] 地鎮[祭] 前夜[祭] ;; 003
質: 角[質]層 蛋白[質] 無機[質] ;; 012
頭: [頭]文字 後[頭]部 [頭]蓋骨 ;; 210
河: [河]川敷 銀[河]系 氷[河]期 ;; 120
活: [活]火山 [活]断層 私生[活] ;; 201
腹: 下[腹]部 [腹]八分 [腹]話術 ;; 210
算: 皮[算]用 鶴亀[算] 胸[算]用 ;; 021
換: [換]気扇 互[換]性 性転[換] ;; 111
電: 乾[電]池 発[電]所 心[電]図 ;; 030
漢: [漢]方薬 無頼[漢] 門外[漢] ;; 102
務: 刑[務]所 公[務]員 事[務]所 ;; 030
管: [管]理人 気[管]支 試験[管] ;; 111
魔: 断末[魔] 破[魔]矢 [魔]術師 ;; 111
四: [四]角形 [四]天王 [四]畳半 ;; 300
予: [予]想外 [予]告編 [予]備校 ;; 300
貴: [貴]金属 [貴]公子 [貴]婦人 ;; 300
奇: [奇]跡的 好[奇]心 小[奇]麗 ;; 120
茶: 喫[茶]店 昆布[茶] [茶]番劇 ;; 111
符: 疑問[符] 終止[符] 免罪[符] ;; 003
逆: [逆]効果 [逆]探知 [逆]輸入 ;; 300
効: 逆[効]果 [効]果的 特[効]薬 ;; 120
義: [義]勇軍 正[義]感 有意[義] ;; 111
軍: 義勇[軍] 強行[軍] 冬将[軍] ;; 003
求: [求]心力 [求]道者 請[求]書 ;; 210
協: [協]奏曲 [協]調性 [協]力的 ;; 300
調: 協[調]性 絶好[調] [調]味料 ;; 111
丁: 口八[丁] [丁]寧語 長[丁]場 ;; 111
約: 口[約]束 契[約]書 公[約]数 ;; 030
首: [首]実検 [首]都圏 絞[首]刑 ;; 210
経: [経]験者 [経]済力 無神[経] ;; 201
罪: 軽犯[罪] [罪]悪感 免[罪]符 ;; 111
備: 警[備]員 準[備]中 予[備]校 ;; 030
